,time,high,low,open,volumefrom,volumeto,close,RealTime
1745,1623715200,1859.44,1799.18,1830.39,291190.47,526980597.3,1809.75,2021-06-15
1746,1623801600,1738.44,1686.06,1809.75,298316.03,505188779.71,1693.47,2021-06-16
1747,1623888000,1715.75,1667.63,1693.47,232705.55,396465656.0,1703.72,2021-06-17
1748,1623974400,1621.85,1568.34,1703.72,269919.17,437206925.41,1619.77,2021-06-18
1749,1624060800,1629.02,1575.33,1619.77,220644.64,347589217.25,1575.33,2021-06-19
1750,1624147200,1640.12,1572.22,1575.33,346198.29,563338266.12,1627.21,2021-06-20
1751,1624233600,1443.33,1344.85,1627.21,582236.71,789904499.18,1356.67,2021-06-21
1752,1624320000,1420.2,1340.2,1356.67,687188.4,925936931.09,1347.43,2021-06-22
1753,1624406400,1437.93,1377.12,1347.43,376433.41,531020312.59,1410.66,2021-06-23
1754,1624492800,1464.14,1419.54,1410.66,366661.14,524328334.89,1430.01,2021-06-24
1755,1624579200,1330.87,1259.98,1430.01,495949.77,647836259.27,1306.25,2021-06-25
1756,1624665600,1338.91,1307.0,1306.25,395998.7,523012065.14,1320.74,2021-06-26
1757,1624752000,1429.07,1379.35,1320.74,357604.27,510416107.93,1427.32,2021-06-27
1758,1624838400,1537.85,1413.77,1427.32,558882.59,838116914.79,1499.63,2021-06-28
1759,1624924800,1597.39,1558.04,1499.63,411531.41,642035526.52,1560.11,2021-06-29
1760,1625011200,1642.2,1508.64,1560.11,432108.34,705696840.66,1633.15,2021-06-30
1761,1625097600,1576.56,1521.96,1633.15,346181.21,528552923.72,1526.81,2021-07-01
1762,1625184000,1558.94,1498.3,1526.81,280632.86,435643493.15,1552.36,2021-07-02
1763,1625270400,1604.66,1577.53,1552.36,212617.49,339855204.74,1598.43,2021-07-03
1764,1625356800,1686.51,1612.07,1598.43,239794.39,399618424.83,1666.5,2021-07-04
1765,1625443200,1617.33,1567.53,1666.5,253257.9,399071952.38,1575.75,2021-07-05
1766,1625529600,1684.0,1599.5,1575.75,252309.07,420798496.77,1667.79,2021-07-06
1767,1625616000,1680.83,1643.08,1667.79,289411.87,482152947.07,1665.98,2021-07-07
1768,1625702400,1634.47,1523.62,1665.98,348598.14,532703541.24,1528.13,2021-07-08
1769,1625788800,1575.24,1527.82,1528.13,378795.77,581846477.15,1536.04,2021-07-09
1770,1625875200,1531.95,1485.78,1536.04,310859.6,468414458.51,1506.84,2021-07-10
1771,1625961600,1541.43,1515.91,1506.84,167948.45,255003504.76,1518.34,2021-07-11
1772,1626048000,1479.04,1434.89,1518.34,215481.26,310658395.61,1441.7,2021-07-12
1773,1626134400,1441.73,1389.7,1441.7,262629.1,364975880.09,1389.7,2021-07-13
1774,1626220800,1443.73,1375.02,1389.7,253248.79,362167197.03,1430.08,2021-07-14
1775,1626307200,1419.06,1370.63,1430.08,255935.65,353612925.72,1381.65,2021-07-15
1776,1626393600,1390.97,1344.01,1381.65,227503.48,308553647.04,1356.26,2021-07-16
